StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientCity,RecipientCountry,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10_70_TEXT,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,gc
10/5/22 6:03,10/5/22 6:48,0,100,2712,1,10/5/22 6:48,R_3iEXEtCFUlkDWRC,New York,United States,2,2,4,2,1,2,2,1,2,28,,5,3,5,4,3,5,3,4,4,5,3,3,3,3,1,1,3,3,1,7,11,"There too many procedures describing the same thing partially, so when you want to get an information on how to proceed you need to gather data from different documents, which very often are contradict to each other. We want to stay flexible, but at the end we have more exceptions than rules. What is missing is Data Owner for each type of data. There should be team/group assigned to each specific attribute and they should have a knowledge and clear instruction what should be stored.",191,1
10/5/22 15:02,10/5/22 15:09,0,100,425,1,10/5/22 15:09,R_1eWqhhM874PaDiE,Boston,United States,3,3,2,2,4,3,4,4,2,28,,4,3,2,1,2,1,2,2,2,2,2,3,3,2,1,4,4,3,2,10,14,,173,1
10/5/22 15:06,10/5/22 15:14,0,100,461,1,10/5/22 15:14,R_xc5G8cJL6e15r7X,Livermore,United States,3,3,3,4,3,3,2,3,3,28,,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,4,3,3,2,9,6,,150,1
10/6/22 12:28,10/6/22 15:48,0,100,11954,1,10/6/22 15:48,R_3DqB8wq47bjf4t9,New York,United States,3,1,2,2,1,3,2,1,1,28,,2,2,6,6,6,6,6,6,6,5,2,6,6,2,3,3,6,6,2,9,6,,199,1
10/10/22 18:37,10/10/22 18:43,0,100,366,1,10/10/22 18:43,R_21mqLs4KhuTqxCd,Shinjuku,Japan,4,1,2,2,2,2,2,2,2,28,,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,3,3,3,8,11,,176,1
10/11/22 8:15,10/11/22 8:54,0,100,2283,1,10/11/22 8:54,R_7WfdxTUw0goPLk5,Phoenixville,United States,4,3,4,5,4,3,3,3,3,28,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,3,9,6,Business needs to recognize the importance of the work done by the data team for not just strategic projects but also to keep the lights on ,150,1
10/11/22 4:47,10/11/22 4:49,0,52,139,0,10/18/22 4:49,R_t01DSeMLgxkdYqd,,,2,2,4,3,3,3,2,3,2,28,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/22 12:02,10/3/22 12:08,0,100,336,1,10/3/22 12:08,R_3nMY6wpAFk7dawZ,New York,United States,5,1,1,2,3,2,1,1,1,29,,3,3,6,3,3,4,4,4,4,4,1,3,6,6,3,3,6,3,1,9,12,,177,1
10/4/22 9:49,10/4/22 9:56,0,100,419,1,10/4/22 9:56,R_ZmgE0XKJcIGOIA9,Arlington,United States,3,5,2,4,3,3,3,3,3,29,,3,3,3,5,5,5,5,5,5,2,2,2,2,2,3,4,5,5,1,9,6,,177,1
10/4/22 10:16,10/4/22 10:19,0,100,180,1,10/4/22 10:19,R_DB0c3x2ngDkd28h,Boston,United States,3,1,3,1,1,1,1,1,1,29,,1,1,1,3,2,1,3,3,3,1,1,1,1,1,3,1,2,6,3,7,12,,176,1
10/4/22 10:09,10/4/22 10:19,0,100,620,1,10/4/22 10:19,R_cvkPzVVE1X66Mjn,Boston,United States,4,3,3,5,2,2,1,2,2,29,,2,2,3,3,2,1,2,2,4,3,1,4,3,6,3,3,3,4,1,7,6,,177,1
10/4/22 10:28,10/4/22 10:34,0,100,362,1,10/4/22 10:34,R_1jIClo08u4W7IJ8,Coral Springs,United States,3,2,2,4,4,3,3,4,3,29,,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,1,8,13,,175,1
10/4/22 10:27,10/4/22 10:41,0,100,807,1,10/4/22 10:41,R_2qflkz8Hvr4DXPX,New York,United States,4,5,2,5,4,5,3,4,4,29,,4,5,5,5,5,6,3,4,4,4,5,5,6,6,4,5,6,3,3,10,14,,176,1
10/4/22 10:40,10/4/22 11:09,0,100,1750,1,10/4/22 11:09,R_9LfMREh1VftlUn7,New York,United States,3,3,3,5,3,4,3,4,3,29,,4,4,6,4,6,6,6,6,6,5,2,5,4,6,4,3,6,6,2,7,6,,175,1
10/4/22 11:23,10/4/22 11:47,0,100,1475,1,10/4/22 11:47,R_12Sw2Pi5h5LBlWx,Boston,United States,3,3,2,1,1,2,1,1,1,29,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,7,14,,175,1
10/5/22 15:03,10/5/22 15:11,0,100,487,1,10/5/22 15:11,R_3dRZOiCt1goGuYC,New York,United States,2,2,2,3,2,5,2,2,3,29,,4,4,6,4,6,4,5,5,5,5,6,2,6,6,3,3,4,6,3,7,6,,175,1
10/6/22 9:37,10/6/22 9:44,0,100,461,1,10/6/22 9:44,R_UJwTFIGBJAZ69Pz,New York,United States,3,3,3,5,4,3,2,3,2,29,,4,4,6,6,3,3,4,4,4,4,6,4,5,4,3,4,6,6,2,8,6,,177,1
10/6/22 9:37,10/6/22 9:45,0,100,478,1,10/6/22 9:45,R_1kICzzXrgxIWrLG,New York,United States,3,1,1,4,2,2,1,1,1,29,,2,1,1,1,1,1,2,3,2,2,2,2,1,2,2,2,2,2,2,7,12,,177,1
10/6/22 9:36,10/6/22 9:46,0,100,586,1,10/6/22 9:46,R_2Ww0PKVeA7fNbIS,New York,United States,5,3,4,5,4,3,3,4,4,29,,4,4,5,4,4,4,4,4,4,5,6,5,5,3,5,4,5,4,1,11,13,,127,1
10/6/22 9:37,10/6/22 9:46,0,100,571,1,10/6/22 9:46,R_2fASmDKDCF2a173,Orange,United States,3,4,2,1,2,2,2,2,2,29,,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,3,1,9,12,,177,1
10/6/22 9:37,10/6/22 10:11,0,100,2076,1,10/6/22 10:11,R_3pmAwQfhHBf9XzT,Boston,United States,3,2,3,3,2,2,1,2,3,29,,4,5,6,4,4,3,3,4,4,4,3,5,6,6,3,2,3,4,1,8,6,"If there was a searchable database of experiments with title, group, hypothesis, results, report, etc (like a classic college notebook experiment) Then I think searching this Biogen database for insights into proprietary data would be a huge benefit. Maybe someone already looked at protein interactions with my target...So, a standardization of reporting would add value. 

Also, the ELN, for me at least, very difficult. I can never find anything that I'm looking for. it's messy to look at and understand unless I was the one who created it. I hate it. ",177,1
10/10/22 11:16,10/10/22 11:24,0,100,470,1,10/10/22 11:24,R_2WJusKCps3oBbyl,Livermore,United States,4,3,3,4,3,3,2,2,1,29,,3,2,2,4,4,2,4,4,4,2,1,2,6,6,4,3,6,6,2,8,13,,175,1
10/10/22 12:42,10/10/22 12:50,0,100,476,1,10/10/22 12:50,R_2UWPYKu05GkpPaI,New York,United States,5,1,3,5,4,4,2,4,2,29,,4,4,3,4,4,2,5,4,3,4,6,5,5,6,3,4,4,4,1,7,12,,177,1
10/11/22 7:19,10/11/22 8:09,0,100,3019,1,10/11/22 8:10,R_3JKlEVEbHlGUt4O,Boston,United States,3,4,1,4,4,3,2,2,1,29,,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,6,6,2,10,11,,175,1
10/11/22 11:05,10/11/22 11:21,0,100,951,1,10/11/22 11:21,R_1i4MY6Nj2CYNr8p,Boston,United States,5,4,4,4,3,4,3,3,2,29,,3,3,3,3,3,2,3,2,2,3,2,5,4,6,4,4,4,3,2,10,6,,176,1
10/10/22 9:48,10/10/22 9:50,0,52,109,0,10/17/22 9:50,R_1CCQknb86XMlFqq,,,4,4,1,4,4,3,3,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/22 10:28,10/4/22 10:43,0,100,920,1,10/4/22 10:43,R_pcUsDqkErC0LPxL,New York,United States,4,4,4,5,3,3,3,4,3,30,,3,3,3,3,6,2,2,3,3,4,4,6,6,6,4,3,3,3,6,9,14,,150,1
10/4/22 11:11,10/4/22 11:16,0,100,339,1,10/4/22 11:16,R_1r661yONAnA0Tu6,Irvine,United States,4,4,2,4,2,3,2,2,2,30,,2,2,1,1,1,2,4,4,2,4,2,4,4,4,3,3,5,2,2,9,13,,150,1
10/5/22 14:52,10/5/22 15:14,0,100,1294,1,10/5/22 15:14,R_2YEeUAemoZn2QHR,Brookline,United States,3,2,3,5,2,4,2,2,2,30,,2,4,2,4,2,4,4,4,4,4,2,4,4,4,3,3,4,4,2,10,11,,127,1
10/6/22 9:35,10/6/22 9:42,0,100,395,1,10/6/22 9:42,R_2DYAPVaVChptBKo,New York,United States,3,4,3,4,4,3,3,2,2,30,,3,5,4,2,2,2,4,4,4,4,3,4,6,6,3,3,4,4,1,10,14,,150,1
10/6/22 9:40,10/6/22 9:47,0,100,430,1,10/6/22 9:47,R_1kNDH0fLX6NQJO4,New York,United States,5,5,4,5,4,5,4,5,4,30,,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,6,3,11,13,,150,1
10/7/22 9:23,10/7/22 9:38,0,100,879,1,10/7/22 9:38,R_AFqxnL29HtJdxgl,New York,United States,5,1,1,3,3,2,2,2,1,30,,3,3,2,3,6,3,3,3,6,6,1,4,4,5,2,3,4,4,2,8,13,"I think these questions are a bit abstract.  While the overall focus is on the data ecosystem, the questions were a convolution of data management policies, individual team practices, and didnt really factor in resource constraints or the specific bottlenecks",150,1
10/3/22 18:22,10/3/22 18:26,0,52,266,0,10/10/22 18:26,R_VPeaxRrvQiS66Nr,,,3,2,2,2,2,2,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/22 8:34,10/11/22 8:56,0,100,1300,1,10/11/22 8:56,R_3JKGJPYBjCNORwf,New York,United States,3,3,1,4,4,3,2,3,3,30,,4,3,2,3,3,2,4,4,4,4,4,5,4,3,3,3,6,6,2,9,14,,151,1
10/11/22 11:12,10/11/22 13:12,0,100,7186,1,10/11/22 13:12,R_pa9hdk7Bv3VnthT,New York,United States,4,2,3,5,3,4,2,2,2,30,,3,4,2,2,3,2,3,4,4,4,2,4,3,2,3,3,4,3,2,9,14,,150,1
10/11/22 14:54,10/11/22 15:00,0,100,376,1,10/11/22 15:00,R_2SGenqLhe0eXkfA,Plano,United States,3,4,3,4,4,3,2,4,1,30,,4,4,2,2,3,4,4,4,4,4,2,3,4,4,2,3,4,4,2,8,14,,150,1
10/6/22 9:35,10/6/22 9:38,0,52,183,0,10/13/22 9:38,R_22XD5j3EyTnXOSQ,,,3,2,4,2,2,3,2,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/22 6:00,10/10/22 9:36,0,48,444942,0,10/17/22 9:36,R_1meMXQmhX8wBkCn,,,5,5,4,4,5,4,4,4,3,30,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/22 1:41,10/17/22 1:45,0,52,239,0,10/19/22 13:34,R_W98gRm29CwZA8E1,,,3,4,1,2,2,2,2,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/22 6:14,9/23/22 8:48,0,100,9223,1,9/23/22 8:48,R_3mk2fiffL8RNmSe,Eich,Switzerland,5,3,2,4,4,4,3,4,4,31,,4,4,2,3,3,1,2,4,4,4,4,5,5,3,4,5,5,3,1,11,14,,176,1
9/27/22 9:00,9/27/22 9:08,0,100,488,1,9/27/22 9:08,R_qUhjgtlvngbCDBL,Boston,United States,3,2,1,2,3,2,2,1,1,31,,3,3,1,3,6,1,1,6,2,3,3,3,2,6,3,5,5,3,2,9,14,none,180,1
10/3/22 11:18,10/3/22 11:23,0,100,316,1,10/3/22 11:23,R_vHc2vdCtTYa3iNj,Boston,United States,4,2,2,3,2,2,1,1,1,31,,2,2,2,3,2,6,6,6,6,6,6,6,6,6,3,2,2,2,2,8,14,,176,1
10/3/22 11:30,10/3/22 11:35,0,100,313,1,10/3/22 11:35,R_26kH0DHQUtccQyp,Boston,United States,3,1,5,4,3,1,2,1,1,31,,2,2,4,4,4,4,4,4,4,4,5,4,4,4,3,5,5,4,1,7,12,Biogen needs a strong investment in infrastructure to connect data systems.,177,1
10/3/22 19:19,10/3/22 19:29,0,100,632,1,10/3/22 19:29,R_1F2qAABEFS0hPcw,Shinjuku,Japan,3,4,3,5,4,4,2,3,1,31,,4,4,2,4,3,4,4,4,4,4,2,4,5,3,2,3,3,6,3,7,6,,176,1
10/4/22 2:38,10/4/22 2:52,0,100,841,1,10/4/22 2:52,R_1DVbIBCo7268Exz,City of London,United Kingdom,5,4,5,5,5,5,3,5,4,31,,5,5,5,5,5,5,4,5,4,4,4,5,5,6,4,5,5,2,2,10,13,,177,1
10/4/22 5:32,10/4/22 5:41,0,100,534,1,10/4/22 5:41,R_247ZuAfVm0UeM2S,West Goshen,United States,3,3,2,4,5,3,2,2,1,31,,5,5,5,5,5,5,5,5,5,4,3,5,5,5,3,5,5,3,2,10,13,,177,1
10/4/22 9:56,10/4/22 10:16,0,100,1222,1,10/4/22 10:16,R_3GjppdIviWpobPG,Boston,United States,4,1,1,2,1,2,1,1,1,31,,1,1,2,5,3,5,5,5,4,4,6,4,4,6,3,3,3,3,2,8,13,data is impossible to access. there are many gatekeepers. IT is extremely frustrating to work with,189,1
10/4/22 10:27,10/4/22 10:32,0,100,265,1,10/4/22 10:32,R_3QPp0ij0MTT4u31,Bethesda,United States,4,5,1,4,4,3,3,3,3,31,,4,4,4,4,4,4,4,4,4,4,2,4,4,6,2,3,4,2,2,10,13,,177,1
10/4/22 10:29,10/4/22 10:37,0,100,465,1,10/4/22 10:37,R_2P4HojbCEs36sCI,Boston,United States,4,3,3,4,4,3,2,4,3,31,,4,4,6,2,3,2,2,4,4,3,2,4,6,6,3,4,4,3,2,10,14,,180,1
10/4/22 10:27,10/4/22 10:38,0,100,639,1,10/4/22 10:38,R_R2AQgLsjhuCBX1v,Boston,United States,5,4,3,5,4,4,4,4,4,31,,4,4,4,4,4,5,5,5,5,4,5,5,5,5,4,4,4,4,3,10,13,,177,1
10/4/22 10:28,10/4/22 10:39,0,100,683,1,10/4/22 10:39,R_1MWbJ0wYOKZBd9z,Philadelphia,United States,4,2,5,1,2,2,2,2,2,31,,2,1,1,3,3,3,4,4,4,3,2,3,2,1,2,4,5,5,1,9,11,This is desperately needed and I hope that the RDLT sees the need to invest in Infrastructure ,190,1
10/4/22 10:30,10/4/22 10:41,0,100,695,1,10/4/22 10:41,R_2wAdkoNrWGA5fpl,Georgetown,United States,3,1,4,2,3,2,1,2,2,31,,3,3,3,2,2,2,6,6,6,2,2,4,6,3,3,5,5,4,6,9,11,,177,1
10/4/22 10:28,10/4/22 10:52,0,100,1442,1,10/4/22 10:52,R_ANbfSFGLv94wOGJ,New York,United States,5,3,1,4,3,1,1,1,1,31,,3,4,6,3,4,1,4,4,4,4,4,3,6,6,3,3,2,3,2,7,14,,176,1
10/4/22 10:57,10/4/22 11:02,0,100,291,1,10/4/22 11:02,R_3MKyGT0uq5l0ugH,Newton,United States,5,3,3,4,4,2,2,4,2,31,,4,4,4,5,4,5,4,5,5,3,3,5,4,6,4,4,5,6,6,10,13,"There are too many separate systems, and it can be difficult to navigate between them.",177,1
10/4/22 11:35,10/4/22 12:19,0,100,2667,1,10/4/22 12:19,R_279TmjKyfNDyeF9,New York,United States,5,5,3,4,5,4,4,4,3,31,,5,5,4,5,5,6,5,5,6,5,1,5,5,6,4,5,5,3,6,10,13,,127,1
10/4/22 12:18,10/4/22 12:44,0,100,1529,1,10/4/22 12:44,R_3xzuXbYxNTy3r0J,Hayward,United States,5,3,4,3,2,3,1,2,2,31,,2,3,3,2,4,1,2,2,3,4,6,3,4,6,3,4,4,4,2,8,14,,176,1
10/4/22 15:22,10/4/22 15:37,0,100,906,1,10/4/22 15:37,R_2ztOCKmnNW2XzdN,New York,United States,4,3,2,4,3,3,3,2,3,31,,3,3,2,3,3,3,2,3,3,4,3,4,3,3,3,3,6,6,2,10,12,,177,1
10/3/22 17:42,10/4/22 18:54,0,100,90667,1,10/4/22 18:54,R_2tsdyxaLCv5N8dq,Shinjuku,Japan,2,1,1,4,2,3,2,1,2,31,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,8,11,,112,1
10/5/22 1:34,10/5/22 1:37,0,100,207,1,10/5/22 1:37,R_bPnQ3QP8bqqCugV,City of London,United Kingdom,3,5,2,3,4,3,3,3,3,31,,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,3,10,13,,127,1
10/5/22 3:25,10/5/22 3:33,0,100,428,1,10/5/22 3:33,R_2SC7BvDbpke5Yvw,Trafford,United Kingdom,5,5,3,4,4,3,4,4,3,31,,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,5,5,3,3,10,6,,177,1
10/5/22 5:11,10/5/22 5:18,0,100,395,1,10/5/22 5:18,R_2txPxGsoAuheMUg,London,United Kingdom,3,3,4,2,2,2,3,3,3,31,,3,4,2,5,4,2,1,3,4,4,3,4,4,1,4,4,5,4,3,10,12,,177,1
10/5/22 5:58,10/5/22 6:03,0,100,306,1,10/5/22 6:03,R_1obz10tYLbxt1f1,Bethesda,United States,2,3,2,4,4,3,2,1,1,31,,2,2,2,2,5,2,4,4,4,4,3,5,5,6,2,1,2,4,2,7,14,,173,1
10/5/22 5:58,10/5/22 6:03,0,100,335,1,10/5/22 6:03,R_3kG6YhXBQciTLsq,Manchester,United Kingdom,2,5,1,4,2,3,2,2,2,31,,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,7,6,,177,1
10/5/22 5:58,10/5/22 6:04,0,100,409,1,10/5/22 6:04,R_3pit3swdZ3RBYXP,Manchester,United Kingdom,4,3,3,4,2,3,4,2,4,31,,3,4,3,4,3,6,2,2,3,3,6,6,3,3,3,4,4,3,3,8,11,,177,1
10/5/22 5:58,10/5/22 6:06,0,100,491,1,10/5/22 6:06,R_2404jHUnZy2rP2v,New York,United States,2,3,2,1,2,1,1,2,2,31,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,2,10,14,"I appreciate the fact that we complete these surveys to provide feedback, but it is time for Biogen to take action. As a leading biotech company, we need to have appropriate data platforms (including an integrated CTMS) to execute upon efficient and timely clinical trial delivery. We too often rely on our CRO data which often has gaps and it is unclear about data stewardship. ",177,1
10/5/22 5:58,10/5/22 6:08,0,100,618,1,10/5/22 6:08,R_3HXg3VSfIkMQOoL,Atlanta,United States,2,2,3,2,2,2,2,1,2,31,,2,2,2,2,4,2,1,2,2,4,4,5,5,6,2,5,5,5,2,8,12,"The clinical data is stuck on a drive in SAS datasets and this need to change to get the best from our data.  It's difficult to find past data, to aggregate data and to allow access for secondary use.  And it's difficult to allow controlled access to the data for an ongoing trial to allow the study team better access during a trial.",177,1
10/4/22 2:43,10/5/22 6:10,0,100,98852,1,10/5/22 6:10,R_3GjOm9TNswD7NSr,City of London,United Kingdom,2,1,3,1,1,1,1,2,1,31,,1,1,1,1,1,1,1,1,1,2,2,6,6,6,2,2,3,4,1,8,14,"Some clear steer on governance and a hierarchy of who to approach with issues/ideas would be a helpful start (or if this exists, advertise this fact).  All too often a big chunk of time is spent identifying who the correct stakeholders are before you can even start looking at how to use the data.",176,1
10/5/22 6:26,10/5/22 6:33,0,100,376,1,10/5/22 6:33,R_CdZ8OIjjSjGohEd,Boston,United States,4,4,2,4,2,3,3,3,3,31,,3,3,3,3,3,2,2,2,3,4,2,4,4,3,4,4,4,6,6,8,14,,171,1
10/5/22 5:58,10/5/22 7:24,0,100,5166,1,10/5/22 7:24,R_3njRqBjGimwgWTN,Boston,United States,2,2,4,2,2,2,2,2,2,31,,2,2,2,2,2,1,2,2,1,1,2,2,2,2,3,2,3,4,1,7,14,,190,1
10/5/22 6:19,10/5/22 10:50,0,100,16254,1,10/5/22 10:50,R_3qEf2YszOBCK2T9,Zurich,Switzerland,4,1,3,4,3,3,2,3,1,31,,2,3,2,2,4,1,2,3,2,4,1,4,3,3,4,4,5,5,2,10,14,Clinical data reports need to be meaningful and easily generate analyses which are actionable. ,176,1
10/5/22 15:02,10/5/22 15:07,0,100,296,1,10/5/22 15:07,R_26akxb8aTuV9re6,Milford Mill,United States,2,2,2,4,2,2,2,2,1,31,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,6,2,1,8,14,,176,1
10/5/22 15:03,10/5/22 15:09,0,100,363,1,10/5/22 15:09,R_dnERbXzEstakxeV,Raleigh,United States,2,1,1,2,2,2,2,2,2,31,,2,4,6,4,6,6,4,6,4,4,6,4,6,6,3,3,6,6,6,7,13,,180,1
10/5/22 15:03,10/5/22 15:12,0,100,529,1,10/5/22 15:12,R_7W1HGSojxavjQbL,Ipswich,United States,3,2,1,2,4,2,2,3,1,31,,2,2,2,4,2,2,2,2,2,2,1,2,2,2,2,4,4,6,2,10,13,None at this time,177,1
